code,label,slug,restaurant_name,objectID
TYC_1056,Greek,greek,Strofilia,78848
TYC_1052,Modern French,modern-french,Selecto,79182
TYC_1096,Seafood,seafood-1096,La Marée,79041
TYC_1052,Modern French,modern-french,Henri,79268
TYC_1096,Seafood,seafood-1096,La Belle Maraîchère,79301
TYC_1031,Classic Cuisine,classic-cuisine,La Belle Maraîchère,79301
TYC_1096,Seafood,seafood-1096,Le Vismet,79040
TYC_1146,Organic,organic,Barge,79360
TYC_1156,Market Cuisine,market-cuisine,Barge,79360
TYC_1068,Japanese,japanese,Samouraï,78709
TYC_1015,Belgian,belgian,Aux Armes de Bruxelles,78664
TYC_1031,Classic Cuisine,classic-cuisine,Aux Armes de Bruxelles,78664
TYC_1031,Classic Cuisine,classic-cuisine,De l'Ogenblik,78959
TYC_1015,Belgian,belgian,De l'Ogenblik,78959
TYC_1050,Classic French,classic-french,Comptoir des Galeries,79004
TYC_1015,Belgian,belgian,Taverne du Passage,78928
TYC_1031,Classic Cuisine,classic-cuisine,Taverne du Passage,78928
TYC_1031,Classic Cuisine,classic-cuisine,Comme chez Soi,79141
TYC_1052,Modern French,modern-french,Bozar Restaurant,78635
TYC_1036,Creative,creative,Bozar Restaurant,78635
TYC_1122,Traditional Cuisine,traditional-cuisine,Les Brigittines Aux marches de la Chapelle,78850
TYC_1015,Belgian,belgian,Les Brigittines Aux marches de la Chapelle,78850
TYC_1036,Creative,creative,San Sablon,79234
TYC_1067,Italian,italian,Genco,79061
TYC_1015,Belgian,belgian,Au Vieux Saint Martin,78800
TYC_1250,Seasonal Cuisine,seasonal-cuisine,Gus,79184
TYC_1015,Belgian,belgian,Gus,79184
TYC_1250,Seasonal Cuisine,seasonal-cuisine,Lola,79272
TYC_1044,Spanish,spanish,Hispania,78849
TYC_1096,Seafood,seafood-1096,L'Écailler du Palais Royal,79270
TYC_1067,Italian,italian,senzanome,78801
TYC_1109,Sicilian,sicilian,senzanome,78801
TYC_1015,Belgian,belgian,Brasserie Ploegmans,79286
TYC_1122,Traditional Cuisine,traditional-cuisine,Brasserie Ploegmans,79286
TYC_1031,Classic Cuisine,classic-cuisine,Les Petits Oignons,79064
TYC_1102,Country cooking,country,Les Petits Oignons,79064
TYC_1063,Asian Influences,asian-influences,La Paix,78753
TYC_1036,Creative,creative,La Paix,78753
TYC_1085,Modern Cuisine,modern-cuisine,Umā,78977
TYC_1065,International,international,Umā,78977
TYC_1122,Traditional Cuisine,traditional-cuisine,JB,79269
TYC_1050,Classic French,classic-french,JB,79269
TYC_1067,Italian,italian,Gioia,78632
TYC_1139,Vietnamese Contemporary,vietnamese-contemporary,Nénu,79009
TYC_1128,Meats and Grills,meats-and-grills,Colonel,78924
TYC_1052,Modern French,modern-french,Colonel,78924
TYC_1101,Regional Cuisine,regional-cuisine,Maison du Luxembourg,78774
TYC_1031,Classic Cuisine,classic-cuisine,Maison du Luxembourg,78774
TYC_1156,Market Cuisine,market-cuisine,Chou,78901
TYC_1122,Traditional Cuisine,traditional-cuisine,Chou,78901
TYC_1042,Cuisine from South West France,cuisine-from-south-west-france,Saint Boniface,78943
TYC_1102,Country cooking,country,Saint Boniface,78943
TYC_1049,French,french,Maxime Maziers,78655
TYC_1067,Italian,italian,Osteria Bolognese,78988
TYC_1146,Organic,organic,Savage,79424
TYC_1126,Vegetarian,vegetarian,Savage,79424
TYC_1126,Vegetarian,vegetarian,iOda,79408
TYC_1146,Organic,organic,iOda,79408
TYC_1085,Modern Cuisine,modern-cuisine,La Canne en Ville,78946
TYC_1036,Creative,creative,La Canne en Ville,78946
TYC_1149,Home Cooking,home-cooking,Le Tournant,78937
TYC_1128,Meats and Grills,meats-and-grills,French Kiss,78736
TYC_1031,Classic Cuisine,classic-cuisine,French Kiss,78736
TYC_1036,Creative,creative,Wine in the City,78836
TYC_1085,Modern Cuisine,modern-cuisine,Wine in the City,78836
TYC_1146,Organic,organic,Tero,79220
TYC_1126,Vegetarian,vegetarian,Tero,79220
TYC_1146,Organic,organic,Màloma,79357
TYC_1067,Italian,italian,Dolce Amaro,78949
TYC_1067,Italian,italian,San Daniele,78653
TYC_1230,Sharing,sharing,La Charcuterie,78981
TYC_1102,Country cooking,country,La Charcuterie,78981
TYC_1067,Italian,italian,Atelier Dolce Amaro,79395
TYC_6,Contemporary,contemporary,Alice,79391
TYC_1156,Market Cuisine,market-cuisine,Alice,79391
TYC_1015,Belgian,belgian,René,78882
TYC_1031,Classic Cuisine,classic-cuisine,René,78882
TYC_1036,Creative,creative,Humus x Hortense,78781
TYC_1146,Organic,organic,Humus x Hortense,78781
TYC_1052,Modern French,modern-french,Origine,78638
TYC_1012,World Cuisine,world-cuisine,Origine,78638
TYC_1052,Modern French,modern-french,Stirwen,78710
TYC_1051,Creative French,creative-french,Odette en Ville,79104
TYC_1031,Classic Cuisine,classic-cuisine,Les Caprices d'Harmony,79265
TYC_1067,Italian,italian,Racines,78720
TYC_1085,Modern Cuisine,modern-cuisine,La Buvette,78802
TYC_1146,Organic,organic,La Buvette,78802
TYC_1049,French,french,La Brouette,79091
TYC_1031,Classic Cuisine,classic-cuisine,Les Potes en Toque,78892
TYC_800,French Contemporary,french-contemporary,Les Potes en Toque,78892
TYC_1067,Italian,italian,Ricciocapriccio,78771
TYC_1067,Italian,italian,Fico,78629
TYC_1109,Sicilian,sicilian,Fico,78629
TYC_1056,Greek,greek,Philema,78630
TYC_1085,Modern Cuisine,modern-cuisine,Brugmann,79152
TYC_1010,Asian,asian,Old Boy,79068
TYC_1049,French,french,Toucan,78944
TYC_1031,Classic Cuisine,classic-cuisine,Toucan,78944
TYC_1034,Korean,korean,Maru,78779
TYC_1010,Asian,asian,Maru,78779
TYC_1096,Seafood,seafood-1096,Toucan sur Mer,78896
TYC_1085,Modern Cuisine,modern-cuisine,Isabelle Arpin,78832
TYC_1068,Japanese,japanese,Kamo,78657
TYC_1115,Sushi,sushi,Kamo,78657
TYC_1030,Chinese,chinese,Car Bon,79342
TYC_1116,Sichuan,sichuan,Car Bon,79342
TYC_1122,Traditional Cuisine,traditional-cuisine,Au Savoy,79251
TYC_1156,Market Cuisine,market-cuisine,Amen,79105
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,La Villa Emily,78772
TYC_1096,Seafood,seafood-1096,Brasserie de l'Expo,79238
TYC_1031,Classic Cuisine,classic-cuisine,Brasserie de l'Expo,79238
TYC_1067,Italian,italian,Le Buone Maniere,78654
TYC_1051,Creative French,creative-french,Le Monde est Petit,79092
TYC_1036,Creative,creative,La Villa in the Sky,78770
TYC_1146,Organic,organic,La Villa in the Sky,78770
TYC_1015,Belgian,belgian,La Brasserie de la Gare,78884
TYC_1031,Classic Cuisine,classic-cuisine,La Brasserie de la Gare,78884
TYC_1103,Roman,roman,Osteria Romana,78879
TYC_1128,Meats and Grills,meats-and-grills,Les Caves d'Alex,79093
TYC_1067,Italian,italian,La Truffe Noire,78714
TYC_1068,Japanese,japanese,Nonbe Daigaku,78730
TYC_1115,Sushi,sushi,Nonbe Daigaku,78730
TYC_1162,Grills,grills-1162,Le Brasero,78637
TYC_1128,Meats and Grills,meats-and-grills,Le Brasero,78637
TYC_1050,Classic French,classic-french,Brasserie de la Patinoire,78651
TYC_1067,Italian,italian,Da Mimmo,79189
TYC_1067,Italian,italian,Le Coq en Pâte,79049
TYC_1031,Classic Cuisine,classic-cuisine,De Maurice à Olivier,79276
TYC_1117,Thai,thai,Villa Singha,78926
TYC_1010,Asian,asian,Villa Singha,78926
TYC_1067,Italian,italian,Caffè Al Dente,78851
TYC_1146,Organic,organic,Ivresse,79396
TYC_1085,Modern Cuisine,modern-cuisine,Ivresse,79396
TYC_1085,Modern Cuisine,modern-cuisine,'t Stoveke,78789
TYC_1071,Lebanese,lebanese,Faraya,79111
TYC_66,Middle Eastern,middle-eastern,Faraya,79111
TYC_1085,Modern Cuisine,modern-cuisine,Sanzaru,78893
TYC_1063,Asian Influences,asian-influences,Sanzaru,78893
TYC_1052,Modern French,modern-french,Michel,79080
TYC_1052,Modern French,modern-french,Cinq,78883
TYC_1067,Italian,italian,Bottega Vannini,79340
TYC_1129,Vietnamese,vietnamese,Le Nénuphar,78708
TYC_1010,Asian,asian,Le Nénuphar,78708
TYC_1031,Classic Cuisine,classic-cuisine,Brasserie Bijgaarden,78713
TYC_1067,Italian,italian,Al Piccolo,79192
TYC_1117,Thai,thai,Appel Thaï,78627
TYC_1036,Creative,creative,La Villa Lorraine by Yves Mattagne,79431
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Le Gril aux herbes,78931
TYC_1031,Classic Cuisine,classic-cuisine,Le Passage,79264
TYC_1102,Country cooking,country,Le Pigeon Noir,78799
TYC_1050,Classic French,classic-french,Le Pigeon Noir,78799
TYC_1071,Lebanese,lebanese,Maza'j,78881
TYC_66,Middle Eastern,middle-eastern,Maza'j,78881
TYC_1031,Classic Cuisine,classic-cuisine,La Branche d'Olivier,79005
TYC_1030,Chinese,chinese,Station 3,79107
TYC_1128,Meats and Grills,meats-and-grills,Colonel,78854
TYC_1031,Classic Cuisine,classic-cuisine,Le Mucha,79102
TYC_1015,Belgian,belgian,Le Mucha,79102
TYC_1085,Modern Cuisine,modern-cuisine,Le Coriandre,78965
TYC_1036,Creative,creative,Le Chalet de la Forêt,78803
TYC_1051,Creative French,creative-french,Maxime Colin,78904
TYC_1031,Classic Cuisine,classic-cuisine,Monsieur V,79401
