code,label,slug,restaurant_name,objectID,0
CAT_P02,A moderate spend,mid-range,Strofilia,78848,
CAT_P02,A moderate spend,mid-range,Selecto,79182,
CAT_P03,Special occasion,premium,La Marée,79041,
CAT_P03,Special occasion,premium,Henri,79268,
CAT_P03,Special occasion,premium,La Belle Maraîchère,79301,
CAT_P03,Special occasion,premium,Le Vismet,79040,
CAT_P03,Special occasion,premium,Barge,79360,
CAT_P03,Special occasion,premium,Samouraï,78709,
CAT_P02,A moderate spend,mid-range,Aux Armes de Bruxelles,78664,
CAT_P02,A moderate spend,mid-range,De l'Ogenblik,78959,
CAT_P02,A moderate spend,mid-range,Comptoir des Galeries,79004,
CAT_P03,Special occasion,premium,Taverne du Passage,78928,
CAT_P04,Spare no expense,luxury,Comme chez Soi,79141,
CAT_P04,Spare no expense,luxury,Bozar Restaurant,78635,
CAT_P03,Special occasion,premium,Les Brigittines Aux marches de la Chapelle,78850,
CAT_P03,Special occasion,premium,San Sablon,79234,
CAT_P03,Special occasion,premium,Genco,79061,
CAT_P03,Special occasion,premium,Au Vieux Saint Martin,78800,
CAT_P02,A moderate spend,mid-range,Gus,79184,
CAT_P03,Special occasion,premium,Lola,79272,
CAT_P03,Special occasion,premium,Hispania,78849,
CAT_P03,Special occasion,premium,L'Écailler du Palais Royal,79270,
CAT_P04,Spare no expense,luxury,senzanome,78801,
CAT_P02,A moderate spend,mid-range,Brasserie Ploegmans,79286,
CAT_P02,A moderate spend,mid-range,Les Petits Oignons,79064,
CAT_P04,Spare no expense,luxury,La Paix,78753,
CAT_P02,A moderate spend,mid-range,Umā,78977,
CAT_P02,A moderate spend,mid-range,JB,79269,
CAT_P02,A moderate spend,mid-range,Gioia,78632,
CAT_P02,A moderate spend,mid-range,Nénu,79009,
CAT_P03,Special occasion,premium,Colonel,78924,
CAT_P02,A moderate spend,mid-range,Maison du Luxembourg,78774,
CAT_P03,Special occasion,premium,Chou,78901,
CAT_P02,A moderate spend,mid-range,Saint Boniface,78943,
CAT_P04,Spare no expense,luxury,Maxime Maziers,78655,
CAT_P02,A moderate spend,mid-range,Osteria Bolognese,78988,
CAT_P02,A moderate spend,mid-range,Savage,79424,
CAT_P01,On a budget,affordable,iOda,79408,
CAT_P04,Spare no expense,luxury,La Canne en Ville,78946,
CAT_P02,A moderate spend,mid-range,Le Tournant,78937,
CAT_P02,A moderate spend,mid-range,French Kiss,78736,
CAT_P04,Spare no expense,luxury,Wine in the City,78836,
CAT_P02,A moderate spend,mid-range,Tero,79220,
CAT_P03,Special occasion,premium,Màloma,79357,
CAT_P03,Special occasion,premium,Dolce Amaro,78949,
CAT_P04,Spare no expense,luxury,San Daniele,78653,
CAT_P02,A moderate spend,mid-range,La Charcuterie,78981,
CAT_P02,A moderate spend,mid-range,Atelier Dolce Amaro,79395,
CAT_P02,A moderate spend,mid-range,Alice,79391,
CAT_P02,A moderate spend,mid-range,René,78882,
