,image_id,expensiveness_category
0,2088757,mid-range
1,2182000,mid-range
2,4151606,mid-range
3,4151588,mid-range
4,2224983,mid-range
5,1956014,mid-range
6,2200565,premium
7,2098284,premium
8,2289173,premium
9,2225512,premium
10,2089586,premium
11,2238739,premium
12,2226113,premium
13,2152211,premium
14,2207861,premium
15,2637246,premium
16,2159291,premium
17,2097926,premium
18,2637460,premium
19,2640075,premium
20,2119391,premium
21,2130677,premium
22,2200944,premium
23,2196069,premium
24,2138037,premium
25,2214735,premium
26,2237152,premium
27,2255648,premium
28,2216806,premium
29,2047909,premium
30,2289738,premium
31,2160091,premium
32,2243835,premium
33,1955141,premium
35,2076232,premium
36,5637014,premium
38,5637083,premium
40,5637024,premium
42,5637059,premium
44,5637008,premium
46,5637032,premium
48,5637092,premium
50,5637047,premium
52,5637051,premium
54,5637070,premium
56,1955135,premium
57,1955140,premium
58,4186019,mid-range
60,2151413,mid-range
62,2216942,mid-range
64,2699390,mid-range
66,2193596,mid-range
68,2698000,mid-range
70,2276349,mid-range
72,2178560,mid-range
74,2685046,mid-range
76,2107809,mid-range
78,2110588,mid-range
80,2098399,mid-range
82,2643059,mid-range
84,2288562,mid-range
86,2696829,mid-range
88,2685769,mid-range
90,2050477,mid-range
92,2684664,mid-range
94,2141169,mid-range
96,2148229,mid-range
98,2267602,mid-range
100,2280672,mid-range
102,2638290,mid-range
103,2227239,mid-range
104,2186444,mid-range
105,5134842,luxury
106,2229034,luxury
107,5134837,luxury
108,2259380,luxury
109,2683878,luxury
110,5134818,luxury
111,2231967,luxury
112,5134795,luxury
113,2289582,luxury
114,5134815,luxury
115,1869678,luxury
117,1869679,luxury
119,1869653,luxury
121,1869652,luxury
123,1869655,luxury
125,1869590,luxury
127,1869620,luxury
129,1870064,premium
131,1870055,premium
133,1870008,premium
135,1870060,premium
137,1870059,premium
139,1870061,premium
141,1870025,premium
143,1870029,premium
145,1870027,premium
147,1870056,premium
149,1870062,premium
151,1870057,premium
153,1955404,premium
155,1957372,premium
156,1957405,premium
157,1956968,premium
158,1956976,premium
159,1956966,premium
160,1956973,premium
161,1956974,premium
162,2269562,premium
163,2088345,premium
164,2266795,premium
165,2270115,premium
166,2245241,premium
167,2216752,premium
168,2639814,premium
169,2133880,premium
170,2249523,premium
171,2213565,premium
172,2199829,mid-range
174,2289802,mid-range
176,2178419,mid-range
178,2268292,mid-range
180,2109028,mid-range
182,2151819,mid-range
184,2298572,mid-range
186,2091677,mid-range
188,2689006,mid-range
190,2210291,mid-range
192,2122270,premium
193,2637433,premium
194,2640452,premium
195,2238998,premium
196,2112940,premium
197,2270889,premium
198,2155612,premium
199,2684394,premium
200,2213176,premium
201,2277838,premium
202,2180403,premium
203,2205662,premium
204,2685620,premium
205,2269700,premium
206,2293022,premium
207,2641805,premium
208,2236576,premium
209,2692882,premium
210,2192342,premium
211,2125980,premium
212,2175384,premium
213,2092541,premium
214,2194190,premium
215,1957939,premium
216,1958006,premium
217,1958005,premium
218,5480263,premium
219,5480270,premium
220,5480281,premium
221,5480286,premium
222,5480298,premium
223,5480320,premium
224,5480328,premium
225,5480338,premium
226,5480389,premium
227,5480394,premium
228,2290263,premium
229,2095429,premium
230,2258867,premium
231,2700084,premium
232,2243454,premium
233,2111612,premium
234,2207433,premium
235,1984981,luxury
237,1984983,luxury
239,1985006,luxury
241,2208592,mid-range
243,2125442,mid-range
245,2160212,mid-range
247,2691773,mid-range
249,2159682,mid-range
251,2156123,mid-range
253,2276352,mid-range
255,2199746,mid-range
257,2260944,mid-range
259,2122136,mid-range
261,2159534,mid-range
263,2175875,mid-range
265,2263631,mid-range
267,2102329,mid-range
269,2695584,mid-range
271,2132125,mid-range
273,2276015,mid-range
275,1873452,luxury
277,4689006,luxury
279,4689015,luxury
281,1992499,mid-range
283,5150110,mid-range
285,5150092,mid-range
287,1992500,mid-range
289,5150078,mid-range
291,5150060,mid-range
293,5150047,mid-range
295,1992429,mid-range
297,2244091,mid-range
299,2229171,mid-range
301,2685019,mid-range
303,2108909,mid-range
305,2160788,mid-range
307,4609033,mid-range
308,4609076,mid-range
309,4609040,mid-range
310,4609098,mid-range
311,4609006,mid-range
312,4609116,mid-range
313,4608992,mid-range
314,4608998,mid-range
315,4609030,mid-range
316,4609070,mid-range
317,5353959,mid-range
318,5353978,mid-range
319,5353998,mid-range
320,5354041,mid-range
321,5354015,mid-range
322,5354012,mid-range
323,5353962,mid-range
324,5354028,mid-range
325,5353994,mid-range
326,5353968,mid-range
327,2089577,premium
329,2247755,premium
331,2236972,premium
333,2109236,premium
335,2195811,premium
337,2287524,premium
339,2233452,premium
341,2089106,premium
343,1955876,mid-range
345,2172596,premium
347,2111833,premium
349,2213827,premium
351,2161847,premium
353,2149031,premium
355,2051199,premium
357,2123363,mid-range
359,2191945,mid-range
361,2093401,mid-range
363,1911253,luxury
364,1911255,luxury
365,1911249,luxury
366,1911244,luxury
367,1911250,luxury
368,1869802,mid-range
369,1869823,mid-range
370,4152639,mid-range
371,4152648,mid-range
372,4663841,mid-range
374,4663868,mid-range
376,4663902,mid-range
378,4663865,mid-range
380,4663874,mid-range
382,4663894,mid-range
384,5435590,affordable
386,5435577,affordable
388,5435559,affordable
390,4455632,luxury
392,4455519,luxury
394,4455563,luxury
396,4455586,luxury
398,4455592,luxury
400,4598596,mid-range
401,4598615,mid-range
402,4598558,mid-range
403,4598539,mid-range
404,4598568,mid-range
405,5474036,mid-range
406,4598534,mid-range
407,4598604,mid-range
408,2294452,mid-range
410,2047418,luxury
412,2124512,luxury
414,2637216,luxury
416,2278405,luxury
418,2126592,luxury
420,2691414,luxury
422,2091543,luxury
424,2092202,luxury
426,2111972,mid-range
428,4667456,mid-range
430,2295436,mid-range
432,2645350,mid-range
434,4667453,mid-range
436,2256524,mid-range
438,2157273,mid-range
440,2197113,mid-range
442,4667434,mid-range
444,4667429,mid-range
446,5522533,premium
447,5522497,premium
448,5522479,premium
449,5522471,premium
450,5522460,premium
451,5522464,premium
452,5522502,premium
453,2248337,premium
454,4668515,premium
455,2647006,premium
456,4668524,premium
457,2256697,luxury
458,2236817,luxury
459,2146157,luxury
460,2190482,mid-range
462,2168965,mid-range
464,2689199,mid-range
466,2240508,mid-range
468,5611670,mid-range
469,5611697,mid-range
470,5611761,mid-range
471,5611663,mid-range
472,5611682,mid-range
473,5611658,mid-range
474,5611622,mid-range
475,5611627,mid-range
476,4872145,mid-range
478,4872120,mid-range
480,4872171,mid-range
482,4872114,mid-range
484,2040521,mid-range
486,2040525,mid-range
488,2691654,premium
490,2287252,premium
492,4230765,premium
494,2190408,premium
496,2111751,mid-range
498,2235521,mid-range
500,2266153,mid-range
502,2226059,mid-range
504,2099161,mid-range
506,2144914,premium
507,2106169,premium
508,2296913,premium
509,2189622,premium
510,2091316,premium
511,2267691,premium
512,2142060,premium
513,2107149,premium
514,2257305,premium
515,2197484,premium
516,2245397,premium
517,2151302,premium
518,2685465,premium
519,2239845,premium
520,2140177,premium
521,2639147,premium
522,2105137,premium
523,2049057,premium
524,2279896,premium
525,2259800,premium
526,2163433,premium
527,2173218,premium
528,2141441,premium
529,2095282,premium
530,2160546,mid-range
531,2145379,mid-range
532,2694346,mid-range
533,2646233,mid-range
534,2253173,mid-range
535,2253556,mid-range
536,2134688,mid-range
537,2126099,mid-range
538,2176317,mid-range
539,2687283,mid-range
540,2156982,mid-range
541,2287874,mid-range
542,2151825,mid-range
543,2275486,mid-range
544,2221633,mid-range
545,2688915,premium
547,1899155,premium
549,2122829,premium
551,2697909,premium
553,2114259,premium
555,1899152,premium
557,4217245,mid-range
558,5489577,mid-range
559,5489543,mid-range
560,5489553,mid-range
561,4217210,mid-range
562,4217128,mid-range
563,4217170,mid-range
564,5489597,mid-range
565,5489570,mid-range
566,4217220,mid-range
567,2171161,mid-range
568,5489548,mid-range
569,2142487,mid-range
571,2252263,mid-range
573,2170657,mid-range
575,2241543,mid-range
577,2261913,mid-range
579,1900418,premium
580,1900420,premium
581,1900372,premium
582,1900419,premium
583,1900374,premium
584,1900379,premium
585,1900428,premium
586,2254872,premium
587,1957868,mid-range
589,1957866,mid-range
591,1957941,mid-range
593,1957942,mid-range
595,1957943,mid-range
597,1957869,mid-range
599,2298570,mid-range
600,2686245,mid-range
601,2225208,mid-range
602,2287877,mid-range
603,2109133,mid-range
604,1956578,luxury
605,5027411,luxury
606,1956580,luxury
607,1956581,luxury
608,1911738,mid-range
609,1911735,mid-range
610,1911739,mid-range
611,2232227,premium
613,2637656,premium
615,2254381,premium
617,2101929,premium
619,2093160,mid-range
621,2271723,mid-range
623,2188033,mid-range
625,2698616,mid-range
627,2127895,mid-range
629,2299565,mid-range
631,2176693,mid-range
633,2153088,mid-range
635,2700861,mid-range
637,2181373,mid-range
639,2184806,mid-range
641,2268764,mid-range
643,2206986,mid-range
645,2173569,mid-range
647,2695480,mid-range
649,2198594,mid-range
651,2175391,mid-range
653,2225603,premium
654,2693611,premium
655,2229032,premium
656,2276104,premium
657,2151750,premium
658,4215312,premium
659,4215317,premium
660,4215401,premium
661,4215425,premium
662,4215294,premium
663,2297107,premium
664,2105055,premium
665,4215410,premium
666,4215422,premium
667,4215505,premium
668,4215514,premium
669,1984918,premium
671,1984953,premium
673,1984947,premium
675,1984950,premium
677,2186138,affordable
679,2299213,affordable
681,2641522,affordable
683,2686493,affordable
685,2227778,affordable
687,2646586,affordable
689,2639723,affordable
691,2195900,affordable
693,2247203,affordable
695,2141912,affordable
697,2643054,affordable
699,2157800,affordable
701,2699307,premium
702,2051268,premium
703,2048983,premium
704,2227691,premium
705,2287049,premium
706,2285106,premium
